职位名称,工作地址,学历要求,工作年限要求,招聘人数,薪资待遇,公司行业,公司性质,公司规模,融资阶段,招聘状态,职位类型,岗位描述,公司介绍,公司工商信息,简历详情页地址,更新日期,技术栈
金蝶ERP二次开发工程师,深圳龙岗区大运软件小镇龙岗大运软件小镇47栋205,大专,5-10年,,16-22K·13薪,大数据,,100-499人,C轮,招聘中,全职,【职位情况】本次招聘的岗位情况：1、铧佗医学参与投资的高新项目，——“红旗颂”助力乡村振兴项目。2、该项目主要种植中草药和安全养生食材的生产，开发适合农业生产的ERP系统，实现订植、订种和订养的农业生产平台化管理。3、农业ERP开发内容包括：（1）中草药种植安全节点溯源；（2）开发ERP与农业大数据交互中心API，实现农业生产的上中下游全智能化管理。（3）ERP手机端，包括H5与与ERP对接和APP与ERP对接。（4）利用云星空BOS，订制生产报表、图表数据接入等。（5）ERP与其它系统业务对接。【岗位职责】1、负责金蝶云星空ERP系统的二次开发。2、负责ERP系统与前端图表的对接开发。3、负责金蝶云星空ERP系统与大数据平台的对接开发。4、其它项目开发工作。【职位要求】请注意：本岗位必须有过3年以上金蝶云星空的开发经历，不符合者请勿投。1、要求大专以上学历，计算机相关专业。2、熟悉.NET开发语言，***必须从事过金蝶ERP系统的开发，能完成整体业务流程的导入和实施工作。3、熟悉金蝶ERP之BOS开发平台、熟悉数据库表结构，具备BOS二次开发能力，能进行ERP报表、数据库接入、字段更改等开发，能对ERP后台全方位进行配置。4、熟悉SQL Server 、MySQL数据库的开发与应用。5、能够独立设计数据库，实现ERP与跨系统的数据交互开发。6、熟悉移动应用，能够指导、配合前端开发。,铧佗医学科技（深圳）集团有限公司，主要从事医院、中医诊所、养生馆、康养基地、药源食材种植、中医药材和医联体的投资管理。在医药研究、临床医学应用基础上，利用物联网、人工智能和大数据技术，形成集“基础体检”、“远程诊断”、“数字医学”、“康养修心”一体的医疗大数据。在医疗产业链中，力求将传统医学与现代技术形成有效结合体，打造中西合璧、秉持“中西结合”的新医疗技术体系。公司主要业务包括：医疗机构投资管理、社区体检、家庭签约医生、基因检测技术、医疗大数据、远程医学诊疗、数字医学研究、健康预警与健康管理、药源食材开发、中药材种植、中医药加工和数字农业开发等方面。“红旗颂”农业，是铧佗医学旗下的数字农业板块。主要业务包括：土地基础数据管理、土地集约管理、土囊改良、药源食材种植、药源饲料加工、药源食物链订植订养、大宗药源食材交易和药源食材终端体验等。红旗颂数智产业大数据，是铧佗医学的战略合作项目，从事智慧产业和智慧供应链项目。铧佗医学-由世界上最大的OTC股票证券交易市场——美国OTC市场上市的投资商Sante Technology Holdings Inc.(胜特科控 股票代码: SNTE)投资控股。其他在美国OTC股票市场的上市的知名公司有喜力啤酒(HINKF)、罗氏制药(RHHBY)、雀巢咖啡(NSRGF)、阿迪达斯(ADDYY)、巴黎银行(BNPQF)、日本软银(SFTBF)和腾讯(TCEHY)等。OTC股票网址：www.otcmarkets.com铧佗医学 为客户提供现代医疗服务！服务领域包括:社区体检 家庭医生基因检测 医疗大数据远程诊疗 数字医学电子档案 AI诊方健康预警 健康指导中医理疗 食材订制(数字农业),https://www.zhipin.com/gongsi/a92c0a66dd421d341nB529m6FFs~.html,https://www.zhipin.com/job_detail/d7e59bb0e53e438f1XFy3dy5F1dX.html,2024-05-14 23:54:07,"[['中草药种植安全节点溯源', 'ERP系统二次开发', 'ERP与前端图表对接', 'ERP与大数据平台对接', '云星空BOS', '生产报表、图表数据接入', 'ERP与其他系统业务对接'], ['金蝶云星空ERP系统二次开发', 'ERP系统与前端图表对接开发', '金蝶云星空ERP系统与大数据平台对接开发', '移动应用开发']]"
高级软件工程师,深圳龙华区共和和丰大厦B栋2105,本科,3-5年,,15-22K,印刷/包装/造纸,,20-99人,,招聘中,全职,1、精通C#开发，3年以上开发经验，能独立完成项目开发。自带系统框架，界面美观漂亮。有CS架构开发经验。2、熟练使用SQL Server2008 数据库，熟练使用SQL语句及存储过程的编写。3、全日制本科及以上学历。4、品行端正，热爱工作，能吃苦。5、身体健康，能出差。6、有RFID或MES项目开发经验优先7、兼职也可考虑。,,https://www.zhipin.com/gongsi/9c84fe9f2e4a5be51nZ-2di7E1s~.html,https://www.zhipin.com/job_detail/72e220e34c24c95e1nF509W1E1pX.html,2024-05-15 00:01:59,"[['C#', 'CS架构', 'SQL Server2008', 'SQL语句', '存储过程', 'RFID', 'MES项目开发']]"
WMS开发主管,深圳劢微机器人科技(深圳)有限公司601,本科,3-5年,,15-25K,智能硬件,,100-499人,B轮,招聘中,全职,岗位职责1、负责.Net编程工作，能独立完成单独模块的设计、编码和测试工作；2、完成所负责模块的功能设计、开发、测试过程，独立处理与解决所负责的任务；3、根据项目的需求进行系统设计，完成设计到开发工作，并进行后续的文档和记录；4、协助推进项目，完成客户需求，推进验收；5、负责将WMS/WCS 与客户其他系统/设备进行集成，满足客户业务需求。6、完成上级领导安排的其他任务。任职要求：1、计算机相关专业本科、3年以上工作经验（含2年以上WMS/WCS开发工作经验），有物流行业经验者优先；2、熟悉自动化设备、仓库设备或者了解WMS/WCS/ERP/MES等系统业务的优先；3、熟悉.Net Core平台开发，熟悉前后端分离开发模式；4、熟悉Mysql、SqlServer数据库，有数据库调优经验者优先；5、熟悉软件开发流程，需求分析能力强，文档编写水平强。6、有良好的编码习惯，较好的学习沟通能力，喜欢挑战，能承受一定的工作压力，适应短期出差。,劢微机器人专注于先进的机器人与人工智能技术，为客户提供完整的智能制造及智慧物流解决方案。硬件产品包括：各类型无人叉车、AMR、无人牵引车及仓储机器人；软件系统包括：劢微云、WMS、WCS、现场管理系统及多种视觉解决方案。劢微机器人具备从底层传感器到核心算法，再到上层软件系统的全自主开发能力。劢微机器人已在工厂、仓储、物流等领域交付了大量标杆项目，成为各行业客户信赖的合作伙伴。,https://www.zhipin.com/gongsi/1cc2518ab8b48d8603d52Ny_GQ~~.html,https://www.zhipin.com/job_detail/f6fe4b453c3011971HRy3ty1FFVU.html,2024-05-15 00:02:21,"[['.Net编程', '模块设计', '编码', '测试', '功能设计', '开发', '测试', '系统设计', '文档记录', '项目推进', '客户需求', '集成', 'WMS/WCS', '自动化设备', '仓库设备', 'ERP', 'MES', '数据库调优', '软件开发流程', '需求分析', '文档编写', '编码习惯', '学习沟通能力', '工作压力', '短期出差']]"
高级软件开发工程师,深圳龙岗区赛格ECO中心6号楼602,本科,3-5年,,18-24K·13薪,互联网,,0-20人,未融资,招聘中,全职,精通.net，熟悉java，php精通数据库，熟悉redis，消息队列本职位负责公司主营产品的开发，升级，欢迎乐于提升自己，挑战自己，自我管理和目标管理为主本职位提供具有竞争力的薪资，并提供挑战、提升自己的机会，是你技能、职级和经验升级的绝佳机会欢迎线上沟通或现场沟通,公司简介深圳市商舟网科技有限公司地处福田，是一个技术创新型企业。旗下主营产品舟大师是业内知名产品，在国内拥有数十万用户，数百家合作伙伴，其中不乏上市公司和国内龙头企业。作为国内领先的中小企业网络营销产品供应商，商舟网力图重塑网络推广行业，并在资本的支持下一路高歌猛进。商舟网，18年的技术沉淀，这是一个有故事的科技公司；坚定的宏伟目标，这是一个有方向的网络公司；奔跑的年轻团队，这是一个有理想的创业公司；加入商舟网，心动的理由我们给你！1、模式已经基本验证，安然渡过了烧钱期，已经开始盈利的创业企业；2、行业内具有竞争力的薪酬；3、社险，带薪年假、法定假日样样不缺；4、创业公司独有的稀缺职业发展机会；5、便捷的交通，人性的考勤；6、无限的想象空间。当然，除了这些能看的到的收获，你还有精神层面的收获：真诚热情的小伙伴们的友谊；贴心，温暖的leader关怀；我们有各种健身活动团建，能给你一个健康的身体；我们需要新伙伴一起开启新征程，愿您的加入为我们注入新的活力，我们将为您提供广阔的发展空间。你可以西装革履，也可以清新潇洒，但勤奋、敢于担当、勇于挑战必须是你品格的一部分；你可以朋克嘻哈，也可以安静典雅，但乐观、抗压能力、坚持不懈必须在你的骨子里存在；你可以童言无忌，也可以腹黑闷骚，但绝对的自信和交际能力从来都不是多余的物件儿；无论你是，思维发达的脑补专家，不折腾会死的活跃分子，一亮相便弄瞎人眼的queen，如白开水般干净的文艺小青年，只要你敢卖萌，我们就敢接收。如果暂时不具备以上任何一条，但是认为自己潜力巨大，非常热爱互联网，在历经磨练后还能笑看人生，希望和商舟网一起进步、成长的，你就赶紧行动起来，让简历飞起来！！！公司地址：深圳市龙岗区吉华街道三联社区赛格新城5号楼406-1公交站台：翠隆花园100米 地铁：环中线 上水径站C出口 900米公司邮箱： *****公司网址：http://www.sumszw.com,https://www.zhipin.com/gongsi/09455ff1495d69e303190ti-.html,https://www.zhipin.com/job_detail/d4718f319bbe782f1XV62Nq-GFZX.html,2024-05-14 23:49:32,"[['.net', 'java', 'php', '数据库', 'redis', '消息队列']]"
高级NET开发工程师,深圳龙岗区大运软件小镇10栋3楼,大专,3-5年,,15-20K,计算机软件,,100-499人,未融资,招聘中,全职,"技能要求：WINFORM，C#/.NET岗位职责:1、参与系统平台和项目的设计、开发、维护和管理；2、制定开发计划，独立完成模块级的设计及规划,负责核心及模块源代码的编写。3. 分析、优化系统架构，提高系统的性能与并发能力，为用户提供更好的体验。4. 解决在开发过程中出现的一些技术难题，参与技术选型。任职资格:1、5年以上.Net开发工作经验2、对.Net技术有深入研究，熟练掌握core2.0, Framework等技术及主流开发框架，能遵循良好的编程规范；3、熟悉B/S，C/S模式的软件开发；4、熟悉MySql / SQL Server数据库；5、具有较强的面向对象的分析、设计、开发能力，熟悉多种设计模式；6、热爱技术，追求卓越，有良好的自学能力，对新技术有钻研精神；7、良好的职业素质、团队合作精神和团队沟通能力；8、执行力强，有很好的适应能力和解决问题的能力。","深圳市艾磊创兴科技有限公司成立2002 年,专注专业为玻璃行业提供国内外产品认证及检测服务(含特种玻璃认证及检测)、玻璃智慧工厂 ERP 管理系统建设服务、找玻网全产业链服务平台,自成立以来一直专注于玻璃行业,十七年行业的经验积累和创新,完善了一套为玻璃加工行业提供“一体化”的管理解决方案, 业务范围遍布北京、广东、广西、江西、福建、上海、浙江、海南等省市,客户和会员达到 800 多家,服务 项目受到业界广泛的支持和高度的评价! 福利待遇1、公司执行大小周，每天7.5小时工作制；2、享受国家法定节假日；3、员工享有带薪假（婚假/产假/丧假），病假享有补贴；4、考核标准灵活的薪酬激励制度；5、员工晋升通道；6、为员工购买医疗保险、养老保险、工伤保险、失业保险及生育保险；7、园区内有后山攀爬、配餐中心，咖啡厅、健身房、免费停车场等等完善的环境设施；公司内部提供茶水间冰箱和微波炉，消毒柜等等餐室；8、全新办公楼，环境优美，交通便捷，靠近大运地铁站、公交站台100米即到。联系方式：*****公司网址：www.sz-alion.com投递邮箱：*****联系方式：*****（李小姐）工作地点：深圳市龙岗区龙岗大道8288号大运软件小镇10栋3楼交 通：地铁龙岗三号线大运站A、B出口即到；乘坐366路、351路、651路、812路、905路、923路、E23路、M266路等公交车到大运地铁站（公交站）即到",https://www.zhipin.com/gongsi/c8a03f17fdd014a11nR809m_Fw~~.html,https://www.zhipin.com/job_detail/f29bfee40279a3430nJ409S_E1I~.html,2024-05-14 23:49:55,"[['WINFORM', 'C#', '.NET', 'core2.0', 'Framework', 'B/S', 'C/S', 'MySql', 'SQL Server', '面向对象', '设计模式']]"
Android开发工程师,深圳南山区深圳市凯迪仕智能科技有限公司9楼,本科,1-3年,,10-15K,智能硬件,,1000-9999人,C轮,招聘中,全职,1.配合产品经理完成研发项目的需求调研、需求分析。 2.负责Android平台客户端、Android/平板 应用程序的开发和维护。 3.完成研发部门的新技术储备，进行相关行业前沿技术的研究和跟踪。 4.作为主要开发人员，完整参与Android平台成功上线项目的研发。 5.开发微信小程序 6.能根据项目实际情况，合理利用技术与开发语言，制定出符合当前项目情况的开发环境。 7.有较强的程序调试能力，分析处理异常bug。 8.输出开发技术文档9.App上架10.提高应用程序的可维护性。,深圳市凯迪仕智能科技股份有限公司(简称Kaadas凯迪仕)，专注于智能锁领域，是一家集产品研发、制造、销售、安装、售后于一体的全产业链公司，是国家高新技术企业，总部位于中国深圳，以服务全球每一个家庭作为愿景，坚持以科技的点滴进步，让人们的生活更美好，以安全、便捷、智能的产品，为万千家庭带来高品质生活体验，让科技的光芒温暖每一个人的内心。 目前凯迪仕有2600多名员工，上万家全球终端网点，销售规模位居全球前列。,https://www.zhipin.com/gongsi/11d851016d01abc21HB53d69Fg~~.html,https://www.zhipin.com/job_detail/c0c6fdcb3cc2e8611nJ72d6-GFNX.html,2024-05-14 23:50:18,"[['Android平台客户端开发', 'Android/平板应用程序开发', '需求调研', '需求分析', '新技术储备', '行业前沿技术研究', '微信小程序开发', '程序调试', '异常bug处理', '开发技术文档输出', 'App上架', '应用程序可维护性提高']]"
.NET,深圳宝安区南科创·银谷306,大专,3-5年,,10-11K,互联网,,0-20人,,招聘中,全职,1.医疗软件开发。 2.工作认真，有责任心。,,https://www.zhipin.com/gongsi/440fe6a7d2235b991nN73tq1EVE~.html,https://www.zhipin.com/job_detail/34a0ca2c06cffb461nFz0ty6FVRV.html,2024-05-15 01:13:06,[['医疗软件开发']]
c语言.net软件开发工程师,深圳龙岗区华南城一号馆一楼1E044,大专,经验不限,,3-4K,广告营销,,0-20人,未融资,招聘中,全职,公司近期新出一个项目，需要开发一款pc软件，主要功能需要在.net环境下使用c语言，或者vb来实现模拟鼠标点击键盘的输入真实点击等自动化操作，以及各项pc上面等操作。要求1）有相关c开发能力项目经理或练习，2）能实现上诉基本要求。学历经验不限。,我们是一家电商服务公司，主要业务为电商设计，网站开发运营，电商运营工具开发。,https://www.zhipin.com/gongsi/9dd0d58f7c1d58141nV6296-EQ~~.html,https://www.zhipin.com/job_detail/628a59b77a9be8211nx809y_FVBS.html,2024-05-15 01:13:29,"[['C语言', 'VB', '.NET', '鼠标点击', '键盘输入', '自动化操作']]"
高级ASP.NET开发工程师,深圳南山区海岸大厦(东座)604,本科,5-10年,,18-25K·13薪,计算机软件,,0-20人,不需要融资,招聘中,全职,"公司及工作内容介绍： 我们是一家外资性质的公司，自研产品。开发具有智能特色的美容行业店务管理软件，如在软件系统上添加人脸识别，智能仪器等形成一个美业行业的综合解决方案。 公司网页：https://axxzia.co.jp （注：公司非外包，非996；周末双休制；因为总有人问这个问题，在此备注）任职资格：1、全日制本科学历，3年以上Asp.NET相关开发经验, 深入理解.NET MVC架构；熟悉C#编程，熟悉.NET Framework框架。2、熟悉JavaScript及开源JS库jQuery,熟悉HTML、Ajax相关技术；接触过MVVM框架，会VUE、React，Angularjs可加分。3、了解大型系统的部署，发布，故障处理等流程。了解docker容器技术，有实际生产使用经验可优先。精通常用开源服务如Nginx等。4、熟悉常用的数据库，如MS SQL, oracle、mysql、mongodb、redis等。有复杂Sql语句编写与优化经验，有大数据量、高并发访问处理可加分",公司隶属日本AXXZIA 总部位于东京新宿2017年在深圳组建分公司希望借助国内先进的IT技术，开发美容行业的互联网产品,https://www.zhipin.com/gongsi/79b56ca7820212131nd73t-_Fw~~.html,https://www.zhipin.com/job_detail/af3b869a114224e703dy2ty-E1Y~.html,2024-05-15 01:14:37,"[['Asp.NET', 'C#', '.NET MVC', 'JavaScript', 'jQuery', 'HTML', 'Ajax', 'MVVM', 'VUE', 'React', 'Angularjs', 'docker', 'Nginx', 'MS SQL', 'oracle', 'mysql', 'mongodb', 'redis']]"
C#/.NET开发工程师,深圳南山区智恒产业园15栋-16栋6楼,本科,1-3年,,10-15K,仪器仪表/工业自动化,,100-499人,已上市,招聘中,全职,岗位描述： 1、配合新产品的推广和使用，开发相关配套上位机软件，实现对系统的监控与维护；2、配合硬件产品，开发合适的硬件通讯接口软件及控制软件；3、维护所开发的监控软件，并根据需求不断更新完善软件；4、相关文档编写。任职要求： 1、本科及以上学历，电子类、通讯、机电一体化、计算机等相关专业；2、熟悉使用C# .NET进行windows平台软件开发；3、具备串口通信、TCP/UDP，Socket通信，熟悉多线程编程，有多层架构设计经验；4、熟悉使用常见的设计模式；5、至少具备使用一种常用数据库的能力（SQL SERVER、SQLite等）；6、工作严谨细致，具有较强的团队合作精神。 福利待遇：1、工作时间：上午8：30-11：50，下午13：30-18：00 、周末双休；2、薪酬组成：基本工资+餐饮补贴+住房补贴+绩效奖金+根据岗位享受每月话费补贴+加班补贴+出差补贴+节日福利+丰厚的年终奖金；3、调薪政策：根据工作表现对年度绩效评分较高员工进行加薪；4、带薪假期：按照国家规享受所有法定节假日，且年底统一休15天（含法定春节放假时间）；5、其他福利：入职即购买五险一金；根据实际对符合南山区人才安居条件的员工向政府申请人才安居补贴并发放给个人；公司不定期举办聚会；6、办公配套 a）环境舒适，所在园区处于南山宝安双界河边；b）交通便利，位于深南北环立交桥旁，下车即到。,"深圳市星龙科技股份有限公司(股票代码：830924)成立于2004年，是一家专业从事新能源充电桩及智能变电站测试的集研发、生产和销售为一体的国家级重点高新技术企业(证书编号:GR201544200920)；公司从2004年开始研制三相程控标准功率源，首次将波形拟合度从原先的国内最高的每周波3600点提高到每周波80000点，其谐波性能可与全球顶级电能测试产品福禄克公司的FLUKE 6135相媲美。该产品已经广泛应用到电力、电子、质检等企事业单位，公司自2008年开始与广东电网公司电力科学研究院合作研究数字化变电站相关检测技术，于2009年结题并被专家鉴定为国际领先，该项目后续延伸系列研究先后获得20多项省部级科技进步奖，目前该系列产品已成为公司的主打产品之一，公司深度参与了国家级数字化标准体系的合作共建，实现了省级计量中心数字化计量检测全覆盖。2014年起开始投入大量的人力物力从事电动汽车充电桩检测类产品的研发、生产、制造，并取得了一系列卓越的成绩，目前已经完成了非车载直流充电机现场校验及实验室检测系统、交流充电桩现场校验及实验室检测系统、BMS管理、交流充电桩负载、非车载直流充电机负载，模拟电动汽车等检测检验系列产品，并成功中标国网四川省计量中心、广东电科院、江西电科院、山东电科院、山西机电设计研究院、厦门计量科学研究院等国内第三方权威机构。 公司于2014年8月13日在全国中小企业股份转让系统（“新三板”）挂牌，股票简称：星龙科技，股票代码：830924，目前公司拥有专利25项，其中发明专利3项，公司参与国家行业及各类标准20余项，累计已获得20项省部级科技进步奖(已拿证书或网上已过公示期)，技术总工程师黄建钟先后被认定为深圳市高层次技术领军人才，深圳市南山区领航人才，公司先后通过了ISO9001、ISO14001等认证，并建立一套完整的质量控制体系和售后服务体系，截至2017年12月31日公司工程人员已参与了全国300多座智能变电站的测试,和80个交直流充电站的现场测试，并于2018年1月22日公司股东大会全票通过了成立星龙电气、星龙软件(拟名称)等三家控股或全资子公司，公司立志在新能源及充电桩检测、检测大数据分析、电力在线检测等产品上为中国电力做出自己的贡献，我们热忱欢迎国内外的广大用户、代理商、投资者与我们精诚合作，共同发展。",https://www.zhipin.com/gongsi/6c2407c04fd19b071nBy39i8GFs~.html,https://www.zhipin.com/job_detail/e7083bd9aea49f2b1nBy2ty0GFRZ.html,2024-05-15 01:12:20,"[['C# .NET', 'Windows平台软件开发', '串口通信', 'TCP/UDP', 'Socket通信', '多线程编程', '多层架构设计', '设计模式', 'SQL SERVER', 'SQLite']]"
后端开发工程师,深圳坪山区比亚迪汽车工业有限公司比亚迪路3009号,本科,3-5年,,15-20K,汽车研发/制造,,10000人以上,已上市,招聘中,全职,岗位职责：1、参与公司信息化系统的需求分析、可行性分析2、负责信息化系统技术方案设计和代码开发工作；？3、负责信息化系统数据库架构、分布式软件架构设计评审、性能调优；4、负责信息化系统版本构建、发布、部署、线上故障定位和解决；8、参与软件开发流程的持续改进、质量优化、技术积累工作；任职要求：1.本科及以上学历，计算机、软件工程、自动化或相关专业；2.3年以上net或java开发经验，熟练使用.net或java技术、多线程、设计模式、分布式技术；3.掌握数据库相关知识，熟悉索引、事务、锁；4.工作认真、严谨细致、有责任心，有团队合作精神。,"比亚迪集团成立于1995年2月，经过20多年的高速发展，已在全球设立30多个工业园，实现全球六大洲的战略布局。比亚迪业务布局涵盖电子、汽车、新能源和轨道交通等领域，并在这些领域发挥着举足轻重的作用，从能源的获取、存储，再到应用，全方位构建零排放的新能源整体解决方案, 比亚迪是香港和深圳上市公司，营业额和总市值均超过千亿元。比亚迪坚持自主创新，掌握电池、电机、电控及芯片等电动车全产业链核心技术，在2008年推出全球首款量产插电式双模电动车，在2010年提出全球首个公共交通电动化解决方案，之后上升为国家战略，形成全球共识，持续引领行业变革。截至2020年底，比亚迪电动车销量连续8年中国第一，已驶入全球50多个国家和地区、300多个城市，是首个进入欧、美、日等发达市场的中国汽车品牌。",https://www.zhipin.com/gongsi/57a2926ed776f6dd1nN43tu8EFM~.html,https://www.zhipin.com/job_detail/2ffdc4906ae91c331HV_0t67EVpR.html,2024-05-15 01:12:44,"[['需求分析', '可行性分析', '技术方案设计', '代码开发', '数据库架构', '分布式软件架构', '性能调优', '版本构建', '发布', '部署', '线上故障定位', '解决', '软件开发流程', '持续改进', '质量优化', '技术积累'], ['本科及以上学历', '计算机', '软件工程', '自动化', 'net开发经验', 'java开发经验', '多线程', '设计模式', '分布式技术', '数据库相关知识', '索引', '事务', '锁', '工作认真', '严谨细致', '责任心', '团队合作精神']]"
rpa工程师,上海杨浦区创智汇405,本科,3-5年,,13-18K·13薪,计算机服务,,100-499人,不需要融资,最新,全职,1.参与项目的RPA功能设计和模块设计；2.参与客户需求沟通，协助撰写流程定义文档；3.通过RPA开发工具，按照自动化设计需求，开发并部署实施RPA机器人；4.用户培训、系统测试、上线交付、现场PoC测试、相关文档编写等。【任职要求】1、本科及以上学历2、uipath的开发和部署。3、日语可以交流。,团队极富激情，有众多顶级公司工作背景。核心成员毕业于清华、交大、浙大、复旦、港大等知名院校。求贤若渴，愿与有志之士共绘蓝图,https://www.zhipin.com/gongsi/b8bf1275479552d31Xdy29S-Fw~~.html,https://www.zhipin.com/job_detail/92ff74b7f68a27c01HB70tW1F1RX.html,2024-05-15 06:42:43,"[['RPA功能设计', '模块设计', '客户需求沟通', '流程定义文档', 'RPA开发工具', '自动化设计需求', 'RPA机器人', '用户培训', '系统测试', '上线交付', '现场PoC测试', '相关文档编写'], ['uipath的开发和部署', '日语交流']]"
服务端开发工程师(python)(A58727),上海徐汇区枫林科创园B2座1803,本科,3-5年,,20-35K·14薪,人工智能,,100-499人,C轮,招聘中,全职,1、根据需求，参与主导各个数字人终端产品和项目的开发工作；2、根据实际产品需求，进行需求分析，数据库设计，接口开发与联调；3、根据需求，进行算法工程化封装，部署，对接；4、对已有系统进行功能，性能优化。职位要求：1、计算机或相关专业本科或以上学历；2、熟练掌握Python、Golang、C++ 至少1种，具有扎实的计算机基础和编程能力；3、精通数据结构和算法，有很好的面向对象分析和设计能力，精通常用设计模式和主流设计工具；4、至少熟悉一种常见的数据库，例如MySQL、PG等；5、具备解决问题和协作的能力，具有较强的沟通和团队合作能力。,魔珐科技成立于2018年，是一家以三维计算机图形学和AIGC技术为核心的3D虚拟人科技公司。魔珐科技打造了全球首个端对端的超写实3D虚拟人工业化产线，并在此基础上建立了“3D虚拟人AIGC平台--星云平台”，自研了3D虚拟人AIGC消费级产品矩阵，致力于为各行各业提供高质量、高效率、低门槛、规模化的超写实3D虚拟人技术，产品和服务。魔珐科技已完成了数亿美金融资，其中，C轮融资达1.1亿美金，由软银愿景和某知名战略投资机构领投。,https://www.zhipin.com/gongsi/6641c9a76c022a8703F409q5GQ~~.html,https://www.zhipin.com/job_detail/3979a729482f2c911HZ73Nu1FFpT.html,2024-05-15 06:43:27,"[['Python', 'Golang', 'C++'], ['数据结构', '算法', '面向对象分析', '设计模式', '主流设计工具'], ['MySQL', 'PG'], ['解决问题', '协作', '沟通', '团队合作']]"
.NET,深圳南山区深圳市高新技术产业园区W1-A601,本科,1年以内,,4-6K,计算机软件,,100-499人,天使轮,招聘中,全职,"岗位职责：1、根据公司总体研发规划，完成软件产品的开发及测试工作；2、根据市场需要或客户需求，进行软件产品的定制开发；3、对于已有的技术和产品，进行技术支持和优化完善；4、公司具有自主核心技术，愿意持续参与并长久发展；任职要求：1.计算机相关专业本科及以上学历，半年以上 .NET平台开发经验；2.熟悉.NET开发技术，熟悉.NET framework，具有相当的C#、ASP.NET、XML、WebService、ORM、Redis在WEB开发中的经验；3.精通SQL语法,有一定的存储过程编写经验；熟练使用html、JavaScript语法，查看各网页源码；4.有工作流和报表的开发经验;5.对代码的可维护性、可重用性、可扩展性有深刻的理解；能持续优化页面响应速度；并提升产品稳定性；7、熟悉各种设计模式；掌握IOC框架原理；掌握移动开发8.有较强的独立工作能力和自我学历能力，能遵循公司规范进行技术开发，具有良好的团队合作精神及沟通表达能力",公司成立于2013年，易升云图为工程企业提供IT规划+流程梳理+系统落地的项目管理解决方案。我们依托强大的PaaS平台，聚焦集团公司，工程行业，设计院等领域，为客户提供基于IT建设一体化解决方案。前身深圳市深蓝拓管理咨询有限公司成立于2008年，拥有多名IT专家、注册会计师、CPIM、CMC及高级架构师的我们，始终致力于企业的管理提升，通过管理结合IT的模式，协助企业完善管理体系，优化流程，强化运营能力，并通过IT工具进行固化。目前公司拥有员工150多名，上海，兰州，杭州，山东，山西设分公司，全国各地有五十多家合作伙伴。,https://www.zhipin.com/gongsi/6185d9715449eb0903B52t65.html,https://www.zhipin.com/job_detail/68bc7f4d6a9839c73nZ929S5FFE~.html,2024-05-15 00:58:11,"[['.NET平台开发', 'C#', 'ASP.NET', 'XML', 'WebService', 'ORM', 'Redis', 'SQL语法', '存储过程', 'html', 'JavaScript', '工作流', '报表', '设计模式', 'IOC框架', '移动开发']]"
.NET 开发工程师,深圳福田区耀华创建大厦16楼,本科,3-5年,,12-18K,医疗服务,,20-99人,天使轮,招聘中,全职,岗位职责:1、负责公司现有项目的维护、调试、升级；2、负责公司产品的需求分析、系统设计、接口设计；3、负责新需求设计文档、技术实现逻辑等文档；4、负责新需求的数据库设计，程序逻辑设计以及技术开发；5、负责开发公司项目；5、负责相关产品的服务器部署、管理等。岗位要求：1. 计算机相关专业，本科及以上学历；2. 精通.Net与.NetCore，3年及以上.Net及.NetCore开发经验，编码能力强，基本功扎实；3、精通C#、熟悉开发平台，有丰富的Web开发经验，熟悉主流前端框架技术；4、熟悉常用设计模式，熟练使用EF、.NetCore MVC等技术，熟悉快速轻量级ORM框架（Dapper等）技术5、精通主流数据库（Mysql/Sql Server）及数据库性能调优；6、精通代码优化、调试、部署、测试；7、具备良好的工作心态，责任心强，团队精神，有抗压能力，有独立工作能力，编码规范，注释清晰，注重细节。,华翰医院管理服务有限公司系零肆经贰科技旗下集大数据运维和保险科技于一体的创新型风险管理服务公司，公司主要服务对象为国内各级医疗机构。公司通过对医疗机构诊疗过程中存在的各类风险进行标签识别和数据分析，利用保险科技赋能手段对目标客户进行全流程风险干预和风险管理，全面提升医疗机构和服务对象的抗风险能力，有效降低医疗纠纷发生率，协助医疗机构构建和谐健康的诊疗环境。,https://www.zhipin.com/gongsi/77ccf79dbd58ced23nd_0t-7EA~~.html,https://www.zhipin.com/job_detail/a07ace54c1531f471nx82Nq4FVVW.html,2024-05-15 00:58:33,"[['.Net', '.NetCore', 'C#', 'Web开发', '主流前端框架', '设计模式', 'EF', '.NetCore MVC', '快速轻量级ORM框架', 'Mysql', 'Sql Server', '数据库性能调优', '代码优化', '调试', '部署', '测试']]"
后端开发工程师,深圳南山区万融大厦11121203,本科,1-3年,,15-20K,建筑材料,,100-499人,,招聘中,全职,职位描述岗位职责及工作占比:1负责系统后端逻辑开发设计，编码40%2.负责技术研究和系统性能优化20%3负责接口文档编写及更新20%,,https://www.zhipin.com/gongsi/90d49ba99a44d9b91nN_3di5GVU~.html,https://www.zhipin.com/job_detail/0e82275e4a6475151XZ63tS_GFJV.html,2024-05-15 00:58:56,"[['后端逻辑开发设计', '编码', '技术研究', '系统性能优化', '接口文档编写', '更新']]"
