,Normalized Job Title,Job Titles
291,大数据平台专家,['大数据平台开发专家']
292,大数据平台和应用,['大数据平台和应用开发工程师']
293,大数据平台实习生,['大数据平台开发实习生']
294,大数据平台架构及研发,['大数据平台架构及研发']
295,大数据平台架构师,['大数据平台架构师']
296,大数据平台架构师引擎调度存储,['大数据平台架构师（引擎&调度&存储）']
297,大数据平台研发,['大数据平台研发工程师']
298,大数据平台研发1159,['大数据平台研发工程师1159']
299,大数据平台运维,['大数据平台开发运维工程师']
300,大数据平台高级,['大数据平台高级开发工程师']
301,大数据应用,['大数据应用工程师' '大数据应用开发工程师']
302,大数据底层框架,['大数据底层框架工程师']
303,大数据引擎研发,['大数据引擎研发工程师']
304,大数据性能优化高级专家北京,['大数据性能优化高级专家.北京']
305,大数据技术专家,['大数据技术专家']
306,大数据技术经理,['大数据技术经理']
307,大数据数据中台,['大数据开发-数据中台']
308,大数据数据挖掘,['大数据开发工程师（数据挖掘）']
309,大数据新零售,['大数据开发工程师-新零售']
310,大数据本科,['大数据开发工程师（本科）']
311,大数据架构,['大数据架构工程师' '大数据架构']
312,大数据架构师,['大数据架构师']
313,大数据架构或研发,['大数据架构或研发']
314,大数据研发,['大数据研发工程师']
315,大数据研发 高级java,['大数据研发工程师 / 高级Java工程师']
316,大数据研发专家,['大数据研发专家']
317,大数据研发离线计算方向,['大数据研发工程师-离线计算方向' '大数据研发工程师(离线计算方向)']
318,大数据研发资源调度方向,['大数据研发工程师-资源调度方向']
319,大数据离线存储方向,['大数据开发（离线存储方向）']
320,大数据系统,['大数据系统开发工程师']
321,大数据系统研发,['大数据系统研发工程师']
322,大数据组件内核,['大数据组件内核开发']
323,大数据组件架构师,['大数据组件工程师/架构师']
324,大数据英语好每周23天可居家,['大数据开发（英语好，每周2-3天可居家）']
325,大数据计算引擎研发专家高级,['大数据计算引擎研发专家/高级工程师']
326,大数据讲师,['大数据讲师']
327,大数据资深,['大数据资深开发工程师']
328,大数据资源调度研发,['大数据资源调度研发工程师']
329,大数据运维,['大数据运维工程师' '大数据开发运维工程师' '大数据运维']
330,大数据运维德科od岗,['大数据运维工程师【德科od岗】']
331,大数据运维长期银行广佛双休,['大数据运维工程师（长期银行，广佛双休）']
332,大数据银行,['大数据开发工程师-银行']
333,大数据项目经理,['大数据项目经理']
334,大数据驻场黄埔清算所,['大数据工程师（驻场-黄埔-清算所）']
335,大数据高级,['大数据高级软件开发工程师' '大数据高级开发工程师']
336,大数据高级分析,['大数据高级分析工程师']
337,大模型应用,['大模型应用开发工程师']
338,大模型应用研发,['大模型应用研发']
339,大模型数据,['大模型数据工程师']
340,大模型驱动agent应用平台研发,['大模型驱动Agent应用/平台研发工程师']
341,大气数值模拟,['大气数值模拟工程师']
342,大规模集群资源调度,['大规模集群资源调度工程师']
343,存储研发,['存储研发工程师']
344,安全研发架构师,['安全研发架构师／工程师']
345,实时数据,['实时数据开发工程师']
346,实时计算,['实时计算开发工程师']
347,客户端,['客户端开发工程师']
348,小程序后端,['小程序后端工程师']
349,小米大数据大数据运维,['小米大数据大数据运维工程师']
350,岗,['软件开发岗']
351,平台dataopsa215506,['软件平台开发工程师（DataOps）(A215506)']
